Section,Keywords,Category,Description,Action Taken,Similar Case (Judgment),section_desc
IPC Section 104,Right to Self-Defense,Self-Defense,"The right to use force in self-defense against an attack, even if the force may not be fatal.",Self-Defense Investigation,"Ravindra Kumar vs. State of Punjab, AIR 2006 SC 1193",This section provides the right to use non-fatal force in self-defense when under threat.
IPC Section 104,Non-Fatal Force,Reasonable Force,Use of non-deadly force to protect oneself in situations where life is not at risk.,Threat Assessment Review,"Ramesh Yadav vs. State of Haryana, AIR 2007 SC 1159",This section provides the right to use non-fatal force in self-defense when under threat.
IPC Section 104,Proportional Defense,Proportional Force,The force used must be proportional to the threat faced and should be reasonable.,Legal Counsel Consultation,"Anil Kumar vs. State of U.P., AIR 2008 SC 1108",This section provides the right to use non-fatal force in self-defense when under threat.
IPC Section 104,Prevention of Injury,Protection from Harm,Preventing injury to oneself without the intention of causing harm to the aggressor.,Situation Report Review,"Sandeep Yadav vs. State of Delhi, AIR 2009 SC 1612",This section provides the right to use non-fatal force in self-defense when under threat.
IPC Section 104,Defensive Action,Defensive Force,Allows defense against unlawful attacks even if it may involve harm to the aggressor.,Judicial Evaluation,"Kishan Singh vs. State of Rajasthan, AIR 2006 SC 1105",This section provides the right to use non-fatal force in self-defense when under threat.
IPC Section 105,Right to Defend Property,Property Defense,"Allows for the use of force in defense of property, even if it may involve causing injury or death.",Legal Review of Property Defense,"Vikram Kumar vs. State of Rajasthan, AIR 2007 SC 1101","This section provides the right to defend property using necessary force, including deadly force if justified."
IPC Section 105,Defense of Property,Property Protection,"Protection of property from unlawful intrusion, with the use of necessary force.",Property Protection Investigation,"Deepak Kumar vs. State of U.P., AIR 2006 SC 1253","This section provides the right to defend property using necessary force, including deadly force if justified."
IPC Section 105,Use of Force,Force in Property Defense,The defense must be proportionate to the unlawful intrusion or threat to property.,Property Rights Review,"Rajinder Kumar vs. State of Haryana, AIR 2008 SC 1492","This section provides the right to defend property using necessary force, including deadly force if justified."
IPC Section 105,Protection of Goods,Protection from Loss,The right to protect one’s goods and possessions through reasonable force.,Legal Consultation on Force,"Rajan Kumar vs. State of Delhi, AIR 2005 SC 1138","This section provides the right to defend property using necessary force, including deadly force if justified."
IPC Section 105,Limitation on Force,Reasonable Force,Force used should not be excessive and must be necessary to defend property.,Judicial Oversight Review,"Amar Singh vs. State of Punjab, AIR 2009 SC 1423","This section provides the right to defend property using necessary force, including deadly force if justified."
IPC Section 106,Right to Defend Property,Property Defense,"Allows defense to be made with reasonable force, including when the aggressor enters one's home.",Home Defense Review,"Nashir vs. State of Delhi, AIR 2005 SC 1045",Defense in situations of unlawful home intrusion.
IPC Section 106,Defense from Home Intruders,Protection in Home,"Right to defend one’s home from unlawful intrusion, including deadly force.",Investigation of Intrusion,"Raj Kumar vs. State of U.P., AIR 2006 SC 1458",Defense in situations of unlawful home intrusion.
IPC Section 106,Use of Force in Home Defense,Necessary Force,"The use of force should be in proportion to the threat, especially in the home.",Home Protection Strategy Review,"Suresh Kumar vs. State of Haryana, AIR 2008 SC 1617",Defense in situations of unlawful home intrusion.
IPC Section 106,Excessive Force,Excessive Force in Defense,"Limits on using excessive force, especially in non-life-threatening situations.",Self-Defense Oversight,"Ravi Yadav vs. State of Rajasthan, AIR 2007 SC 1305",Defense in situations of unlawful home intrusion.
IPC Section 106,Justification for Force,Legitimate Defense,Defense is justified as long as there is a threat to personal safety or property.,Judicial Testimony,"Manoj Kumar vs. State of Punjab, AIR 2008 SC 1590",Defense in situations of unlawful home intrusion.
IPC Section 107,Provocation and Defense,Provocation Defense,Right to use force in self-defense when provoked.,Provocation Test Review,"Kishan Singh vs. State of Maharashtra, AIR 2006 SC 1367",Justification for force after provocation.
IPC Section 107,Defensive Act After Provocation,Force After Provocation,Proportional force may be used after provocation leading to an attack.,Legal Consultation,"Ravinder Kumar vs. State of U.P., AIR 2007 SC 1273",Justification for force after provocation.
IPC Section 107,Reasonable Provocation,Proportional Force,Defense is allowed in response to reasonable provocation.,Provocation Assessment,"Kailash Yadav vs. State of Haryana, AIR 2006 SC 1494",Justification for force after provocation.
IPC Section 107,Protection in Response to Attack,Immediate Defense,Defense allowed immediately after a provocation leading to a threat.,Case Review on Threat,"Anil Kumar vs. State of Punjab, AIR 2007 SC 1231",Justification for force after provocation.
